rssi,distance
-49,4.5
-48,4.5
-47,4.5
-48,4.5
-50,4.5
-50,4.5
-49,4.5
-46,4.5
-47,4.5
-48,4.5
-47,4.5
-49,4.5
-48,4.5
-47,4.5
-48,4.5
-48,4.5
-49,4.5
-47,4.5
-48,4.5
-48,4.5
-48,4.5
-48,4.5
-48,4.5
-47,4.5
-48,4.5
-47,4.5
-48,4.5
-47,4.5
-47,4.5
-48,4.5
-49,4.5
-48,4.5
-49,4.5
-48,4.5
-47,4.5
-48,4.5
-48,4.5
-49,4.5
-48,4.5
-47,4.5
-48,4.5
-48,4.5
-47,4.5
-48,4.5
-47,4.5
-48,4.5
-46,4.5
-49,4.5
-50,4.5
-48,4.5
-48,4.5
-47,4.5
-50,4.5
-48,4.5
-46,4.5
-49,4.5
-47,4.5
-48,4.5
-47,4.5
-47,4.5
-48,4.5
-47,4.5
-48,4.5
-48,4.5
-47,4.5
-49,4.5
-47,4.5
-48,4.5
-47,4.5
-48,4.5
-47,4.5
-47,4.5
-47,4.5
-47,4.5
-47,4.5
-49,4.5
-46,4.5
-48,4.5
-46,4.5
-46,4.5
-47,4.5
-47,4.5
-46,4.5
-46,4.5
-47,4.5
-48,4.5
-47,4.5
-46,4.5
-46,4.5
-46,4.5
-47,4.5
-46,4.5
-46,4.5
-46,4.5
-46,4.5
-46,4.5
-47,4.5
-45,4.5
-48,4.5
-48,4.5
-48,4.5
-50,4.5
-47,4.5
-48,4.5
-48,4.5
-47,4.5
-48,4.5
-48,4.5
-48,4.5
-49,4.5
-47,4.5
-47,4.5
-47,4.5
-47,4.5
-46,4.5
-48,4.5
-48,4.5
-49,4.5
-48,4.5
-48,4.5
-49,4.5
-50,4.5
-48,4.5
-49,4.5
-49,4.5
-50,4.5
-48,4.5
-47,4.5
-48,4.5
-47,4.5
-48,4.5
-46,4.5
-48,4.5
-47,4.5
-47,4.5
-49,4.5
-47,4.5
-48,4.5
-48,4.5
-48,4.5
-48,4.5
-48,4.5
-48,4.5
-48,4.5
-49,4.5
-48,4.5
-48,4.5
-49,4.5
-47,4.5
-47,4.5
-47,4.5
-49,4.5
-48,4.5
-47,4.5
-47,4.5
-49,4.5
-47,4.5
-49,4.5
-48,4.5
-48,4.5
-48,4.5
-46,4.5
-45,4.5
-49,4.5
-48,4.5
-48,4.5
-49,4.5
-50,4.5
-50,4.5
-49,4.5
-49,4.5
-49,4.5
-48,4.5
-47,4.5
-48,4.5
-48,4.5
-49,4.5
-49,4.5
-47,4.5
-49,4.5
-47,4.5
-47,4.5
-49,4.5
-49,4.5
-49,4.5
-48,4.5
-47,4.5
-48,4.5
-49,4.5
-48,4.5
-47,4.5
-48,4.5
-50,4.5
-49,4.5
-50,4.5
-48,4.5
-48,4.5
-50,4.5
-48,4.5
-49,4.5
-50,4.5
-48,4.5
-48,4.5
-48,4.5
-48,4.5
-48,4.5
-48,4.5
-48,4.5
-48,4.5
-48,4.5
-50,4.5
-49,4.5
-49,4.5
-48,4.5
-49,4.5
-48,4.5
-49,4.5
-47,4.5
-49,4.5
-50,4.5
-49,4.5
-49,4.5
-50,4.5
-48,4.5
-47,4.5
-48,4.5
-48,4.5
-48,4.5
-46,4.5
-46,4.5
-48,4.5
-48,4.5
-49,4.5
-48,4.5
-48,4.5
-46,4.5
-47,4.5
-47,4.5
-47,4.5
-47,4.5
-49,4.5
-47,4.5
-49,4.5
-46,4.5
-47,4.5
-47,4.5
-47,4.5
-49,4.5
-49,4.5
-47,4.5
-47,4.5
-49,4.5
-49,4.5
-48,4.5
-49,4.5
-49,4.5
-47,4.5
-46,4.5
-49,4.5
-49,4.5
-49,4.5
-49,4.5
-48,4.5
-47,4.5
-48,4.5
-48,4.5
-48,4.5
-46,4.5
-48,4.5
-48,4.5
-48,4.5
-48,4.5
-47,4.5
-47,4.5
-47,4.5
-47,4.5
-47,4.5
-47,4.5
-46,4.5
-47,4.5
-49,4.5
-46,4.5
-47,4.5
-48,4.5
-47,4.5
-47,4.5
-46,4.5
-48,4.5
-46,4.5
-47,4.5
-48,4.5
-47,4.5
-46,4.5
-47,4.5
-46,4.5
-48,4.5
-47,4.5
-49,4.5
-47,4.5
-46,4.5
-46,4.5
-46,4.5
-47,4.5
-47,4.5
-46,4.5
-47,4.5
-47,4.5
-47,4.5
-47,4.5
-48,4.5
-46,4.5
-48,4.5
-48,4.5
-50,4.5
-48,4.5
-49,4.5
-48,4.5
-47,4.5
-50,4.5
-44,4.5
-47,4.5
-43,4.5
-57,4.5
-48,4.5
-47,4.5
-47,4.5
-47,4.5
-47,4.5
-47,4.5
-47,4.5
-46,4.5
-48,4.5
-47,4.5
-48,4.5
-49,4.5
-48,4.5
-48,4.5
-48,4.5
-48,4.5
-48,4.5
-46,4.5
-49,4.5
-48,4.5
-47,4.5
-48,4.5
-47,4.5
-49,4.5
-49,4.5
-49,4.5
-48,4.5
-50,4.5
-48,4.5
-46,4.5
-47,4.5
-48,4.5
-49,4.5
-47,4.5
-50,4.5
-46,4.5
-48,4.5
-48,4.5
-49,4.5
-47,4.5
-48,4.5
-49,4.5
-49,4.5
-51,4.5
-49,4.5
-49,4.5
-48,4.5
-50,4.5
-46,4.5
-48,4.5
-48,4.5
-48,4.5
-49,4.5
-47,4.5
-49,4.5
-48,4.5
-48,4.5
-50,4.5
-47,4.5
-48,4.5
-47,4.5
-49,4.5
-48,4.5
-47,4.5
-46,4.5
-49,4.5
-50,4.5
-48,4.5
-49,4.5
-50,4.5
-49,4.5
-49,4.5
-48,4.5
-47,4.5
-47,4.5
-47,4.5
-50,4.5
-48,4.5
-49,4.5
-47,4.5
-48,4.5
-47,4.5
-48,4.5
-49,4.5
-47,4.5
-50,4.5
-49,4.5
-49,4.5
-48,4.5
-49,4.5
-48,4.5
-48,4.5
-48,4.5
-48,4.5
-47,4.5
-48,4.5
-48,4.5
-49,4.5
-48,4.5
-48,4.5
-52,4.5
-49,4.5
-48,4.5
-47,4.5
-47,4.5
-51,4.5
-48,4.5
-47,4.5
-50,4.5
-49,4.5
-48,4.5
-48,4.5
-46,4.5
-49,4.5
-47,4.5
-47,4.5
-48,4.5
-47,4.5
-47,4.5
-48,4.5
-47,4.5
-47,4.5
-48,4.5
-48,4.5
-49,4.5
-48,4.5
-49,4.5
-49,4.5
-46,4.5
-49,4.5
-46,4.5
-47,4.5
-49,4.5
-48,4.5
-48,4.5
-49,4.5
-48,4.5
-47,4.5
-48,4.5
-48,4.5
-48,4.5
-47,4.5
-49,4.5
-48,4.5
-47,4.5
-48,4.5
-49,4.5
-47,4.5
-49,4.5
-48,4.5
-48,4.5
-48,4.5
-47,4.5
-47,4.5
-47,4.5
-48,4.5
-47,4.5
-49,4.5
-47,4.5
-47,4.5
-48,4.5
-47,4.5
-48,4.5
-49,4.5
-48,4.5
-48,4.5
-52,4.5
-48,4.5
-48,4.5
-48,4.5
-47,4.5
-47,4.5
-47,4.5
-48,4.5
-49,4.5
-47,4.5
-49,4.5
